sample,seq_name,seqbin,top_hit_species,top_hit_accession,top_hit_match
21SPA0035,21SPA0035_racon_21_consensus_trimmed.fasta,passed,Puccinia triticina,MW479113.1,94.011
21SPA0036,21SPA0036_racon_2_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.141
21SPA0037,21SPA0037_racon_23_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417387.1,95.455
21SPA0038,21SPA0038_racon_21_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,99.137
21SPA0039,21SPA0039_racon_19_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.677
21SPA0040,21SPA0040_racon_27_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. lolii,DQ417384.1,99.677
21SPA0041,21SPA0041_racon_12_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.571
21SPA0041,21SPA0041_racon_179_consensus_trimmed.fasta,passed,Diorchidium woodii,KM217352.1,92.410
21SPA0041,21SPA0041_racon_9_consensus_trimmed.fasta,passed,Puccinia graminis,JQ688944.1,96.875
21SPA0042,21SPA0042_racon_33_consensus_trimmed.fasta,passed,Puccinia triticina,MW479113.1,94.726
21SPA0043,21SPA0043_racon_11_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,99.571
21SPA0044,21SPA0044_racon_22_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,99.892
21SPA0046,21SPA0046_racon_10_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,99.571
21SPA0047,21SPA0047_racon_16_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.892
21SPA0048,21SPA0048_racon_16_consensus_trimmed.fasta,passed,Puccinia graminis,OM265458.1,99.570
21SPA0049,21SPA0049_racon_1_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,98.602
21SPA0050,21SPA0050_racon_17_consensus_trimmed.fasta,passed,Puccinia graminis,DQ417386.1,99.143
21SPA0051,21SPA0051_racon_10_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.570
21SPA0052,21SPA0052_racon_27_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. phlei-pratensis,DQ417392.1,99.357
21SPA0054,21SPA0054_racon_26_consensus_trimmed.fasta,passed,Puccinia graminis,OM265443.1,99.458
21SPA0055,21SPA0055_racon_21_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,99.356
21SPA0056,21SPA0056_racon_16_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.249
21SPA0057,21SPA0057_racon_21_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,98.178
21SPA0058,21SPA0058_racon_7_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,99.677
21SPA0059,21SPA0059_racon_4_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,99.892
21SPA0060,21SPA0060_racon_1_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.784
21SPA0061,21SPA0061_racon_27_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.249
21SPA0062,21SPA0062_racon_3_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.358
21SPA0063,21SPA0063_racon_34_consensus_trimmed.fasta,passed,Puccinia coronata,DQ355443.1,99.893
21SPA0064,21SPA0064_racon_14_consensus_trimmed.fasta,passed,Puccinia persistens,DQ460722.1,99.142
21SPA0065,21SPA0065_racon_39_consensus_trimmed.fasta,passed,Puccinia graminis,OM265458.1,99.785
21SPA0066,21SPA0066_racon_221_consensus_trimmed.fasta,passed,Cryptococcus sp. HB 1222,AM160648.1,99.488
21SPA0066,21SPA0066_racon_45_consensus_trimmed.fasta,passed,Cryptococcus sp. HB 1222,AM160648.1,95.153
21SPA0066,21SPA0066_racon_74_consensus_trimmed.fasta,passed,Puccinia coronata,DQ355443.1,99.147
21SPA0067,21SPA0067_racon_35_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,99.892
21SPA0068,21SPA0068_racon_20_consensus_trimmed.fasta,passed,Puccinia coronata,DQ355443.1,99.893
21SPA0069,21SPA0069_racon_29_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,99.892
22SPA0032,22SPA0032_racon_19_consensus_trimmed.fasta,passed,Puccinia coronata,DQ355443.1,99.893
22SPA0032,22SPA0032_racon_22_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,98.717
22SPA0033,22SPA0033_racon_15_consensus_trimmed.fasta,passed,Puccinia graminis,OM265448.1,99.892
22SPA0034,22SPA0034_racon_4_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.678
22SPA0035,22SPA0035_racon_19_consensus_trimmed.fasta,passed,Puccinia holcina,DQ512999.1,99.566
22SPA0036,22SPA0036_racon_2_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.677
22SPA0037,22SPA0037_racon_19_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,93.717
22SPA0037,22SPA0037_racon_20_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. phlei-pratensis,DQ417392.1,98.289
22SPA0038,22SPA0038_racon_22_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.464
22SPA0039,22SPA0039_racon_24_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,99.464
22SPA0040,22SPA0040_racon_30_consensus_trimmed.fasta,passed,Puccinia coronata,DQ355443.1,96.482
22SPA0040,22SPA0040_racon_36_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. phlei-pratensis,DQ417392.1,99.037
22SPA0041,22SPA0041_racon_15_consensus_trimmed.fasta,passed,Diorchidium woodii,KM217352.1,92.781
22SPA0041,22SPA0041_racon_16_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.356
22SPA0042,22SPA0042_racon_21_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. phlei-pratensis,DQ417392.1,99.464
22SPA0043,22SPA0043_racon_20_consensus_trimmed.fasta,passed,Puccinia graminis,OM265449.1,99.892
22SPA0044,22SPA0044_racon_11_consensus_trimmed.fasta,passed,Puccinia graminis,OM265450.1,98.704
22SPA0045,22SPA0045_racon_11_consensus_trimmed.fasta,passed,Puccinia graminis,OM265442.1,98.710
22SPA0046,22SPA0046_racon_5_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. tritici,DQ417382.1,99.571
22SPA0047,22SPA0047_racon_25_consensus_trimmed.fasta,passed,Puccinia graminis f. sp. avenae,DQ460727.1,98.387
